rho,s,D,tel_strictly_decreasing,exp_strictly_decreasing,C,c1,c2,C_lower_bound_ok,C_upper_bound_ok,kappa_tel,kappa_exp,identity_lhs,identity_rhs,relative_identity_error,tel_consecutive_diff_max_abs_error,exp_consecutive_diff_max_abs_error
0.1,0.1,2,True,True,0.8314782453055047,0.7042268126807977,1.4203682313977462,True,True,90.99999999999999,10.944363308815669,8.314782453055045,8.314782453055047,2.1363840237907549e-16,0.0,0.0
0.1,0.1,3,True,True,0.8194641442903525,0.7042268126807977,1.4203682313977462,True,True,9090.999999999996,110.93834993686893,81.94641442903523,81.94641442903524,1.7341643089837027e-16,0.0,2.220446049250313e-16
0.1,0.1,4,True,True,0.8183095813526574,0.7042268126807977,1.4203682313977462,True,True,909090.9999999995,1110.9377437537535,818.3095813526572,818.3095813526573,1.389288849993579e-16,1.1102230246251565e-16,0.0
0.1,0.1,5,True,True,0.8181945898084233,0.7042268126807977,1.4203682313977462,True,True,90909090.99999993,11110.937683086608,8181.945898084226,8181.945898084232,6.669523703298131e-16,0.0,2.7755575615628914e-17
0.1,0.1,6,True,True,0.8181830952975779,0.7042268126807977,1.4203682313977462,True,True,9090909090.999992,111110.93767701938,81818.30952975774,81818.30952975777,3.557129281209175e-16,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,7,True,True,0.8181819458929254,0.7042268126807977,1.4203682313977462,True,True,909090909090.999,1111110.9376764123,818181.9458929246,818181.945892925,5.691414845380615e-16,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.1,8,True,True,0.818181830952924,0.7042268126807977,1.4203682313977462,True,True,90909090909090.86,11111110.93767635,8181818.309529231,8181818.3095292365,6.82969877390786e-16,1.1102230246251565e-16,2.168404344971009e-19
0.1,0.1,9,True,True,0.8181818194589289,0.7042268126807977,1.4203682313977462,True,True,9090909090909076.0,111111110.93767627,81818181.9458928,81818181.94589286,7.285012127843142e-16,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.1,10,True,True,0.8181818183095293,0.7042268126807977,1.4203682313977462,True,True,9.090909090909075e+17,1111111110.937676,818181818.3095281,818181818.309529,1.0199016993308199e-15,1.1102230246251565e-16,2.7755575615628914e-17
0.1,0.1,11,True,True,0.8181818181945892,0.7042268126807977,1.4203682313977462,True,True,9.090909090909074e+19,11111111110.93767,8181818181.945883,8181818181.945888,5.828009711280562e-16,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.1,12,True,True,0.8181818181830954,0.7042268126807977,1.4203682313977462,True,True,9.090909090909072e+21,111111111110.93762,81818181818.3094,81818181818.3095,1.1189778645815873e-15,1.1102230246251565e-16,2.7755575615628914e-17
0.1,0.1,13,True,True,0.8181818181819459,0.7042268126807977,1.4203682313977462,True,True,9.090909090909071e+23,1111111111110.937,818181818181.9446,818181818181.9454,1.0443793402776153e-15,1.1102230246251565e-16,2.168404344971009e-19
0.1,0.1,14,True,True,0.818181818181831,0.7042268126807977,1.4203682313977462,True,True,9.090909090909068e+25,11111111111110.93,8181818181818.295,8181818181818.304,1.074218749999984e-15,1.1102230246251565e-16,6.938893903907228e-18
0.1,0.1,15,True,True,0.8181818181818196,0.7042268126807977,1.4203682313977462,True,True,9.090909090909067e+27,111111111111110.84,81818181818181.8,81818181818181.89,1.1458333333333323e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,16,True,True,0.8181818181818185,0.7042268126807977,1.4203682313977462,True,True,9.090909090909066e+29,1111111111111110.1,818181818181816.6,818181818181817.8,1.3750000000000006e-15,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.1,17,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909065e+31,1.1111111111111102e+16,8181818181818165.0,8181818181818176.0,1.3444444444444455e-15,1.1102230246251565e-16,2.220446049250313e-16
0.1,0.1,18,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909061e+33,1.11111111111111e+17,8.181818181818163e+16,8.181818181818174e+16,1.36888888888889e-15,1.1102230246251565e-16,2.168404344971009e-19
0.1,0.1,19,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090906e+35,1.11111111111111e+18,8.181818181818163e+17,8.181818181818173e+17,1.2515555555555569e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,20,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909058e+37,1.11111111111111e+19,8.18181818181816e+18,8.181818181818173e+18,1.6270222222222239e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,21,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909057e+39,1.11111111111111e+20,8.18181818181816e+19,8.181818181818173e+19,1.6019911111111128e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,22,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909055e+41,1.1111111111111099e+21,8.181818181818159e+20,8.181818181818172e+20,1.601991111111113e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,23,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909052e+43,1.1111111111111099e+22,8.181818181818156e+21,8.181818181818172e+21,1.922389333333336e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,24,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090905e+45,1.1111111111111098e+23,8.181818181818155e+22,8.181818181818172e+22,2.0505486222222247e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,25,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909049e+47,1.1111111111111096e+24,8.181818181818155e+23,8.181818181818171e+23,1.968526677333336e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,26,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909047e+49,1.1111111111111096e+25,8.181818181818153e+24,8.181818181818171e+24,2.0997617891555584e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,27,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909046e+51,1.1111111111111095e+26,8.181818181818153e+25,8.18181818181817e+25,2.0997617891555584e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,28,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909044e+53,1.1111111111111094e+27,8.181818181818152e+26,8.18181818181817e+26,2.183752260721781e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,29,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909042e+55,1.1111111111111094e+28,8.18181818181815e+27,8.18181818181817e+27,2.4189255811072038e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,30,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090904e+57,1.1111111111111093e+29,8.18181818181815e+28,8.181818181818168e+28,2.1501560720952924e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,31,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909039e+59,1.1111111111111094e+30,8.181818181818148e+29,8.181818181818168e+29,2.4081748007467276e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,32,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909037e+61,1.1111111111111094e+31,8.181818181818146e+30,8.181818181818169e+30,2.7521997722819743e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,33,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909035e+63,1.1111111111111092e+32,8.181818181818145e+31,8.181818181818169e+31,2.862287763173253e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,34,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909034e+65,1.1111111111111092e+33,8.181818181818144e+32,8.181818181818168e+32,2.9943933522427883e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,35,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909032e+67,1.1111111111111092e+34,8.181818181818142e+33,8.181818181818167e+33,2.9591651951575793e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,36,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090903e+69,1.1111111111111091e+35,8.181818181818142e+34,8.181818181818167e+34,3.156442874834751e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,37,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909027e+71,1.111111111111109e+36,8.18181818181814e+35,8.181818181818166e+35,3.2466269569728873e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,38,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909026e+73,1.1111111111111087e+37,8.181818181818141e+36,8.181818181818166e+36,3.0301851598413618e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,39,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909024e+75,1.111111111111109e+38,8.181818181818137e+37,8.181818181818165e+37,3.4630687541044136e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,40,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909023e+77,1.1111111111111087e+39,8.181818181818138e+38,8.181818181818165e+38,3.324546003940237e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,41,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090902e+79,1.1111111111111088e+40,8.181818181818135e+39,8.181818181818164e+39,3.54618240420292e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,42,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909018e+81,1.1111111111111087e+41,8.181818181818134e+40,8.181818181818163e+40,3.5461824042029203e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,43,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909018e+83,1.1111111111111087e+42,8.181818181818135e+41,8.181818181818164e+41,3.593464836258959e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,44,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909017e+85,1.1111111111111084e+43,8.181818181818135e+42,8.181818181818164e+42,3.4799869993244654e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,45,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909013e+87,1.1111111111111083e+44,8.181818181818133e+43,8.181818181818162e+43,3.631290781903791e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,46,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909012e+89,1.1111111111111083e+45,8.181818181818131e+44,8.181818181818163e+44,3.87337683403071e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,47,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.09090909090901e+91,1.1111111111111083e+46,8.18181818181813e+45,8.181818181818162e+45,3.8733768340307105e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,48,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909009e+93,1.111111111111108e+47,8.18181818181813e+46,8.181818181818161e+46,3.718441760669483e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.1,49,True,True,0.8181818181818182,0.7042268126807977,1.4203682313977462,True,True,9.090909090909007e+95,1.1111111111111083e+48,8.181818181818128e+47,8.18181818181816e+47,3.966337878047448e-15,1.1102230246251565e-16,3.469446951953614e-18
0.1,0.2,2,True,True,0.7714824141597764,0.5604231250720159,1.3767230640603216,True,True,45.99999999999999,5.962546800253215,7.714824141597762,7.714824141597764,2.302524084537799e-16,0.0,0.0
0.1,0.2,3,True,True,0.7411961507518617,0.5604231250720159,1.3767230640603216,True,True,2295.999999999999,30.976955259022333,74.11961507518616,74.11961507518616,0.0,0.0,2.220446049250313e-16
0.1,0.2,4,True,True,0.7359282097108572,0.5604231250720159,1.3767230640603216,True,True,114795.99999999993,155.9880413404764,735.9282097108569,735.9282097108571,3.0896176073012087e-16,1.1102230246251565e-16,5.551115123125783e-17
0.1,0.2,5,True,True,0.7349347328240001,0.5604231250720159,1.3767230640603216,True,True,5739795.999999995,780.9939772399556,7349.3473282399955,7349.34732824,6.187588238469683e-16,3.469446951953614e-18,2.220446049250313e-16
