seed,method,regime,epsilon,leaf_accuracy,macro_f1,path_accuracy,wrong_parent_rate,nll,ece,wrong_branch_mass_mean,catastrophic_wrong_branch
11,posterior_finite,exact,0.0,0.6042849035187288,0.5987855870210542,0.6042849035187288,0.1584846765039727,1.4723047197730996,0.0411050732149716,0.2328845056869883,0.1811861520998865
11,map_finite_matched,exact,0.0,0.6042849035187288,0.5987855870210542,0.6042849035187288,0.1584846765039727,1.4723047197730996,0.0411050732149716,0.2328845056869883,0.1811861520998865
11,hard_map,exact,0.0,0.6853007945516458,0.6736856577587633,0.6853007945516458,0.0,1.0472406148910522,0.0261000539223736,4.583671604463922e-09,0.0
11,posterior_finite,predicted,0.0,0.5784619750283768,0.5731396852554408,0.5784619750283768,0.1948070374574347,1.576188906718206,0.0338346809191769,0.2640616259633964,0.217082860385925
11,map_finite_matched,predicted,0.0,0.5774687854710556,0.5726437117411632,0.5774687854710556,0.1945232690124858,1.581404641636116,0.0325249934315396,0.259522874526934,0.217082860385925
11,hard_map,predicted,0.0,0.5295119182746879,0.5245148555665216,0.5295119182746879,0.2339670828603859,7.248898506164551,0.1295145181706439,0.2339670865814477,0.2339670828603859
11,posterior_finite,corrupted,0.0,0.5784619750283768,0.5731396852554408,0.5784619750283768,0.1948070374574347,1.576188906718206,0.0338346809191769,0.2640616259633964,0.217082860385925
11,map_finite_matched,corrupted,0.0,0.5774687854710556,0.5726437117411632,0.5774687854710556,0.1945232690124858,1.581404641636116,0.0325249934315396,0.259522874526934,0.217082860385925
11,hard_map,corrupted,0.0,0.5295119182746879,0.5245148555665216,0.5295119182746879,0.2339670828603859,7.248898506164551,0.1295145181706439,0.2339670865814477,0.2339670828603859
11,posterior_finite,corrupted,0.1,0.5786038592508513,0.5733150451960584,0.5786038592508513,0.195516458569807,1.5780539439324326,0.0348452713527593,0.265927580155065,0.2183598183881952
11,map_finite_matched,corrupted,0.1,0.5771850170261067,0.5724494157565944,0.5771850170261067,0.1952326901248581,1.5827842029845662,0.0332027102536794,0.2602137746576175,0.2177922814982973
11,hard_map,corrupted,0.1,0.5256810442678774,0.5204559042160819,0.5256810442678774,0.2395005675368899,7.396751880645752,0.1322864965302077,0.2395005711818391,0.2395005675368899
11,posterior_finite,corrupted,0.2,0.5781782065834279,0.5730280740554727,0.5781782065834279,0.1972190692395005,1.580012634852286,0.0351900883481893,0.2678635150541823,0.2200624290578887
11,map_finite_matched,corrupted,0.2,0.5767593643586834,0.5722390067230083,0.5767593643586834,0.1962258796821793,1.584985697560075,0.0332789276863039,0.2614070745851394,0.2199205448354143
11,hard_map,corrupted,0.2,0.5183030646992054,0.5132608626184147,0.5183030646992054,0.2498581157775255,7.673251628875732,0.137417839492262,0.2498581192871634,0.2498581157775255
11,posterior_finite,corrupted,0.3,0.57761066969353,0.5726042709758178,0.57761066969353,0.1989216799091941,1.5820738824343326,0.0341244811991951,0.2698751207940134,0.2214812712826333
11,map_finite_matched,corrupted,0.3,0.5766174801362088,0.5724217172038104,0.5766174801362088,0.1975028376844494,1.588507035870239,0.0350340340117193,0.2638548900323301,0.2237514188422247
11,hard_map,corrupted,0.3,0.4965947786606129,0.4919955050854065,0.4965947786606129,0.2819239500567537,8.529746055603027,0.1507144132280187,0.2819239534057093,0.2819239500567537
11,posterior_finite,corrupted,0.4,0.5767593643586834,0.571979264911581,0.5767593643586834,0.2009080590238365,1.584247697057509,0.0340320020988216,0.2719687336060489,0.2231838819523269
11,map_finite_matched,corrupted,0.4,0.5751986379114642,0.5707183707570718,0.5751986379114642,0.2013337116912599,1.5926793246336,0.0331432696927412,0.2703839001818492,0.2308456299659478
11,hard_map,corrupted,0.4,0.4035187287173666,0.3984375016262206,0.4035187287173666,0.4216799091940976,12.234895706176758,0.2141264060937147,0.4216799122555166,0.4216799091940976
23,posterior_finite,exact,0.0,0.6025822928490352,0.5957647475866756,0.6025822928490352,0.1611804767309875,1.4737878852244208,0.0317207411566826,0.2332851418430162,0.1844494892167991
23,map_finite_matched,exact,0.0,0.6025822928490352,0.5957647475866756,0.6025822928490352,0.1611804767309875,1.4737878852244208,0.0317207411566826,0.2332851418430162,0.1844494892167991
23,hard_map,exact,0.0,0.686577752553916,0.6740461104328052,0.686577752553916,0.0,1.0466067790985107,0.0251964634087752,4.279221091990303e-09,0.0
23,posterior_finite,predicted,0.0,0.5783200908059024,0.5716305655110515,0.5783200908059024,0.1980703745743473,1.577620709804956,0.0323982169762142,0.2641782790334727,0.2229001135073779
23,map_finite_matched,predicted,0.0,0.5790295119182747,0.5730015172951448,0.5790295119182747,0.1932463110102156,1.582018785700884,0.0344392161111704,0.2592760344608477,0.2180760499432463
23,hard_map,predicted,0.0,0.5288024971623155,0.5222568472661142,0.5288024971623155,0.2319807037457434,7.203549861907959,0.1284491317283265,0.231980707306123,0.2319807037457434
23,posterior_finite,corrupted,0.0,0.5783200908059024,0.5716305655110515,0.5783200908059024,0.1980703745743473,1.577620709804956,0.0323982169762142,0.2641782790334727,0.2229001135073779
23,map_finite_matched,corrupted,0.0,0.5790295119182747,0.5730015172951448,0.5790295119182747,0.1932463110102156,1.582018785700884,0.0344392161111704,0.2592760344608477,0.2180760499432463
23,hard_map,corrupted,0.0,0.5288024971623155,0.5222568472661142,0.5288024971623155,0.2319807037457434,7.203549861907959,0.1284491317283265,0.231980707306123,0.2319807037457434
23,posterior_finite,corrupted,0.1,0.5771850170261067,0.5705192588669322,0.5771850170261067,0.1997729852440408,1.579564666266905,0.032275291058797,0.2660564456895682,0.2236095346197502
23,map_finite_matched,corrupted,0.1,0.5783200908059024,0.5721556512488094,0.5783200908059024,0.1943813847900113,1.5837295240668614,0.0348855547744635,0.2600910222320001,0.2193530079455164
