method,regime,epsilon,leaf_accuracy,leaf_accuracy,macro_f1,macro_f1,path_accuracy,path_accuracy,wrong_parent_rate,wrong_parent_rate,nll,nll,ece,ece,wrong_branch_mass_mean,wrong_branch_mass_mean,catastrophic_wrong_branch,catastrophic_wrong_branch
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
hard_map,corrupted,0.0,0.528688989784336,0.002021870913462045,0.5215545108739607,0.003416822927278464,0.528688989784336,0.002021870913462045,0.23229284903518727,0.0020796783397272253,7.208553171157837,0.059835852082975066,0.12724982937660473,0.0016482091260646367,0.2322928520999891,0.002079678521421174,0.23229284903518727,0.0020796783397272253
hard_map,corrupted,0.1,0.5246452894438138,0.002388314170906456,0.517579933248925,0.0033269190496764997,0.5246452894438138,0.002388314170906456,0.23845062429057884,0.002304569403381162,7.371736097335815,0.06608685653034205,0.13034112136271886,0.0017089729939622313,0.23845062732493566,0.0023045695046911424,0.23845062429057884,0.002304569403381162
hard_map,corrupted,0.2,0.5169977298524404,0.0027175345719939723,0.5100329130237381,0.003460204164109534,0.5169977298524404,0.0027175345719939723,0.24953178206583426,0.0024493470946828403,7.666564989089966,0.06936858075751372,0.13606345849851656,0.0018463160771846191,0.249531785041838,0.0024493471420226126,0.24953178206583426,0.0024493470946828403
hard_map,corrupted,0.3,0.49507661748013615,0.002628200705647151,0.48842688457015315,0.003245157828927174,0.49507661748013615,0.002628200705647151,0.28185300794551643,0.0025321464667387764,8.527434825897217,0.07003133235731156,0.15068710098174162,0.0021500861412472403,0.2818530107371585,0.0025321466927486873,0.28185300794551643,0.0025321464667387764
hard_map,corrupted,0.4,0.4021850170261067,0.0030956927865184946,0.39711593138168355,0.0028052535062366036,0.4021850170261067,0.0030956927865184946,0.42102724177071504,0.002448570734727664,12.220840167999267,0.06401576222153409,0.21485547792952966,0.0036888220139615993,0.421027244017729,0.0024485707904403713,0.42102724177071504,0.002448570734727664
hard_map,exact,0.0,0.6855419977298525,0.0026796133369100224,0.67259866914627,0.0026750301988131896,0.6855419977298525,0.0026796133369100224,0.0,0.0,1.04677654504776,0.003619877421251681,0.02652184425395454,0.0017869173237063138,4.079636867146487e-09,8.753049830824222e-10,0.0,0.0
hard_map,predicted,0.0,0.528688989784336,0.002021870913462045,0.5215545108739607,0.003416822927278464,0.528688989784336,0.002021870913462045,0.23229284903518727,0.0020796783397272253,7.208553171157837,0.059835852082975066,0.12724982937660473,0.0016482091260646367,0.2322928520999891,0.002079678521421174,0.23229284903518727,0.0020796783397272253
map_finite_matched,corrupted,0.0,0.5785612939841089,0.0014501064231140447,0.5725320814945958,0.002052100749025067,0.5785612939841089,0.0014501064231140447,0.19374290578887626,0.0015430701949560549,1.5813235307892033,0.003194737265092092,0.03491818921938425,0.001963136114657405,0.25903915343016587,0.0009160863970659196,0.21791997729852436,0.001641679412955449
map_finite_matched,corrupted,0.1,0.5780646992054483,0.0016918036811035188,0.5720644930636569,0.0021009843673137994,0.5780646992054483,0.0016918036811035188,0.1946225879682179,0.0011605053942496401,1.583072034642657,0.0033153026055798415,0.0350699256228841,0.0018016634151220838,0.25980479819223345,0.0009003920924645336,0.21921112372304194,0.001751821715612189
map_finite_matched,corrupted,0.2,0.577227582292849,0.0016654868331099646,0.5712642540277473,0.0020516570626495055,0.577227582292849,0.0016654868331099646,0.19614074914869464,0.0009368657218625954,1.5856392192929254,0.003320333923232579,0.03508597262397203,0.0016705513898680065,0.2610511033221721,0.0008772388917631089,0.22139614074914865,0.0014080812762715406
map_finite_matched,corrupted,0.3,0.576716799091941,0.00133945185505856,0.5708500081509086,0.0017921113930894875,0.576716799091941,0.00133945185505856,0.19771566401816115,0.0013025387205751486,1.5894044256100983,0.0032714435248106175,0.03482565681195186,0.0016179616428393614,0.26354375760217574,0.0008718646194188231,0.2254824063564131,0.001438879823670555
map_finite_matched,corrupted,0.4,0.5757945516458569,0.0016611162632247684,0.569920699454897,0.001527204210782432,0.5757945516458569,0.0016611162632247684,0.20174517593643584,0.002122949181626396,1.5938461372724688,0.002763083819570227,0.034288047810862435,0.0026487565937132937,0.26995216948782763,0.0009255759508657844,0.23297389330306467,0.0015742827257939004
map_finite_matched,exact,0.0,0.6029086265607264,0.0018500043835277884,0.5959069548915295,0.0019207649275833588,0.6029086265607264,0.0018500043835277884,0.16000283768444945,0.002059413090571529,1.472921647183544,0.0025796078937293477,0.03428974630828479,0.003548483405611348,0.2327894149838468,0.0009087643259361404,0.1826475595913734,0.0015267486611570235
map_finite_matched,predicted,0.0,0.5785612939841089,0.0014501064231140447,0.5725320814945958,0.002052100749025067,0.5785612939841089,0.0014501064231140447,0.19374290578887626,0.0015430701949560549,1.5813235307892033,0.003194737265092092,0.03491818921938425,0.001963136114657405,0.25903915343016587,0.0009160863970659196,0.21791997729852436,0.001641679412955449
posterior_finite,corrupted,0.0,0.5794125993189557,0.0015194056565802484,0.5732905443753474,0.002184104062240436,0.5794125993189557,0.0015194056565802484,0.19534619750283766,0.00213382633611986,1.576954636863034,0.0027626995829711236,0.033691052428092026,0.001900084348871718,0.26378274163439025,0.0009269869351733605,0.22097048808172529,0.0018049001665211468
posterior_finite,corrupted,0.1,0.5788734392735527,0.0017188889510510409,0.5727658277267895,0.0024656596904231768,0.5788734392735527,0.0017188889510510409,0.19660896708286035,0.002255369115306621,1.57879856558016,0.0027279725934383292,0.033611481388198375,0.0026630399633402473,0.26562654194038643,0.0009463716759494367,0.22224744608399544,0.001907333043218941
posterior_finite,corrupted,0.2,0.5785896708286039,0.0018875875578845023,0.5726309028653314,0.0025461556532919245,0.5785896708286039,0.0018875875578845023,0.19763053348467646,0.0021017710454235418,1.5807345388773846,0.0026941491360502256,0.03330688701764314,0.002626609576251567,0.26754001445859277,0.0009671043842604424,0.22375141884222471,0.0018547740778592247
posterior_finite,corrupted,0.3,0.57827752553916,0.0021214735936940475,0.5724244592825476,0.0025941936917453453,0.57827752553916,0.0021214735936940475,0.19866628830874006,0.0021401066195016723,1.5827713259825082,0.0026614359115680027,0.03329969824730904,0.0030738384561517706,0.26952885241073793,0.0009892107463979726,0.225510783200908,0.00211423890593243
posterior_finite,corrupted,0.4,0.5776816118047673,0.001909735632762938,0.5718797026923365,0.0022586441883692314,0.5776816118047673,0.001909735632762938,0.20002837684449487,0.0019278626595522139,1.5849187918658765,0.002630080757326574,0.03342941745210026,0.002629303858286315,0.2715993938346027,0.0010127243698738663,0.22684449489216796,0.0022381958146451063
posterior_finite,exact,0.0,0.6029086265607264,0.0018500043835277884,0.5959069548915295,0.0019207649275833588,0.6029086265607264,0.0018500043835277884,0.16000283768444945,0.002059413090571529,1.472921647183544,0.0025796078937293477,0.03428974630828479,0.003548483405611348,0.2327894149838468,0.0009087643259361404,0.1826475595913734,0.0015267486611570235
posterior_finite,predicted,0.0,0.5794125993189557,0.0015194056565802484,0.5732905443753474,0.002184104062240436,0.5794125993189557,0.0015194056565802484,0.19534619750283766,0.00213382633611986,1.576954636863034,0.0027626995829711236,0.033691052428092026,0.001900084348871718,0.26378274163439025,0.0009269869351733605,0.22097048808172529,0.0018049001665211468
