method,leaf_accuracy_mean,leaf_accuracy_std,macro_f1_mean,macro_f1_std,path_accuracy_mean,path_accuracy_std,wrong_parent_rate_mean,wrong_parent_rate_std,nll_mean,nll_std,ece_mean,ece_std,wrong_branch_mass_mean_mean,wrong_branch_mass_mean_std,catastrophic_wrong_branch_mean,catastrophic_wrong_branch_std
Vanilla,0.579327468785471,0.001975595922792077,0.5737408741870706,0.0020932863861517475,0.579327468785471,0.001975595922792077,0.20048240635641315,0.0027308361773083563,1.5790851593017579,0.0023588161938928754,0.03345614215723793,0.003467140284865406,0.27753517225249397,0.0011736421949776552,0.22996594778660612,0.0020775261314101073
Hard MAP,0.528688989784336,0.00202187091346205,0.5215545108739607,0.0034168229272784605,0.528688989784336,0.00202187091346205,0.23229284903518727,0.0020796783397272244,7.208552598953247,0.059835809085262114,0.12723789305408206,0.0016256958060112986,0.23229285224798585,0.002079678612582119,0.23229284903518727,0.0020796783397272244
Tree kernel,0.5795970488081725,0.001620492026013229,0.5733928903769707,0.0022648764229217496,0.5795970488081725,0.001620492026013229,0.19429625425652663,0.001583067379441967,1.5773490309539455,0.0028576670741191756,0.03420704026305718,0.0014438492100042417,0.26132573470462817,0.0008887046115498594,0.21956583427922816,0.0018909026486666554
Poincare (10D),0.579710556186152,0.0016785302634155072,0.5735991899067521,0.0021335785122446483,0.579710556186152,0.0016785302634155072,0.19516174801362082,0.0018136161075306475,1.5771617531776427,0.0025929260784813154,0.033697156423372954,0.0018343725154930312,0.2638644677429342,0.0018830798221593165,0.22121169125993187,0.0020533217481702327
Ultrametric,0.5794267877412033,0.0015525358638171986,0.573302933870536,0.002205463027107817,0.5794267877412033,0.0015525358638171986,0.1953320090805902,0.002155986668414358,1.576953135439084,0.0027624508593946055,0.03369664309138899,0.0019369083076594404,0.2637878251678487,0.0009313340983677755,0.22099886492622015,0.0017622606845893454
Tuned prefix-ultrametric,0.5793700340522133,0.0017185635949218314,0.5731860616794779,0.002272972836948813,0.5793700340522133,0.0017185635949218314,0.1954313280363223,0.0021415693689119833,1.5769416043208424,0.0027169773160199673,0.033791393533969885,0.002488168586455518,0.2638330788233313,0.0012088000433440771,0.22088535754824062,0.001581088014256676
