seed,parent_head_accuracy,semantic_leaf_accuracy,runtime_seconds
11,0.7660329171396141,0.5786038592508513,6.654127836227417
23,0.7680192962542566,0.5770431328036323,6.43896746635437
37,0.7660329171396141,0.5803064699205448,6.009045124053955
41,0.7688706015891033,0.5766174801362088,6.015774726867676
53,0.7717082860385925,0.5784619750283768,5.886264562606812
67,0.7695800227014756,0.5807321225879682,6.0945024490356445
71,0.7658910329171397,0.5786038592508513,5.795574188232422
83,0.7654653802497162,0.5788876276958003,6.600791931152344
97,0.7691543700340522,0.5807321225879682,6.644839763641357
109,0.766316685584563,0.5832860385925085,6.044730186462402
