seed,method,regime,epsilon,leaf_accuracy,macro_f1,path_accuracy,wrong_parent_rate,nll,ece,wrong_branch_mass_mean,catastrophic_wrong_branch
11,vanilla,exact,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,hard_map,exact,0.0,0.6853007945516458,0.6736856577587633,0.6853007945516458,0.0,1.0472385883331299,0.026528711381043794,4.482188100306049e-09,0.0
11,tree,exact,0.0,0.6085414301929626,0.6029249457976659,0.6085414301929626,0.1511066969353008,1.4532429394714188,0.041622399780420996,0.22444203696899337,0.17423382519863792
11,poincare,exact,0.0,0.6071225879682179,0.6015322815253074,0.6071225879682179,0.15337684449489217,1.4633401045477763,0.041524794303207616,0.22864854763063303,0.17792281498297388
11,ultrametric,exact,0.0,0.6042849035187288,0.5987855870210542,0.6042849035187288,0.15848467650397277,1.472297569712969,0.04121078292464819,0.23290066349274594,0.1811861520998865
11,geometric_shell,exact,0.0,0.6035754824063564,0.5980870372845581,0.6035754824063564,0.15961975028376846,1.4761935235194599,0.0414186607392815,0.23461504501940036,0.18374006810442678
11,vanilla,predicted,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,hard_map,predicted,0.0,0.5295119182746879,0.5245148555665216,0.5295119182746879,0.23396708286038592,7.248897552490234,0.12947168920578164,0.23396708641230857,0.23396708286038592
11,tree,predicted,0.0,0.5790295119182747,0.573536809480401,0.5790295119182747,0.1938138479001135,1.5765348723889405,0.034637730200281866,0.2615971920218299,0.21580590238365494
11,poincare,predicted,0.0,0.5788876276958003,0.5738668099380128,0.5788876276958003,0.19466515323496028,1.576493501663208,0.033958558816669954,0.26276447850614615,0.21694097616345062
11,ultrametric,predicted,0.0,0.5784619750283768,0.5731396852554408,0.5784619750283768,0.19480703745743475,1.5761838632378258,0.03393238731488279,0.26408057192526024,0.21722474460839955
11,geometric_shell,predicted,0.0,0.5784619750283768,0.5732107363019556,0.5784619750283768,0.19509080590238365,1.576145723001455,0.034511334304509186,0.26458907513360663,0.21765039727582292
11,vanilla,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,hard_map,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,tree,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682208614715,0.038471199078939936,0.2779448125690076,0.22531214528944382
11,poincare,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,ultrametric,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682208614715,0.038471199078939936,0.2779448125690076,0.22531214528944382
11,geometric_shell,missing,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682208614715,0.038471199078939936,0.2779448125690076,0.22531214528944382
11,vanilla,corrupted,0.0,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,hard_map,corrupted,0.0,0.5295119182746879,0.5245148555665216,0.5295119182746879,0.23396708286038592,7.248897552490234,0.12947168920578164,0.23396708641230857,0.23396708286038592
11,tree,corrupted,0.0,0.5790295119182747,0.573536809480401,0.5790295119182747,0.1938138479001135,1.5765348723889405,0.034637730200281866,0.2615971920218299,0.21580590238365494
11,poincare,corrupted,0.0,0.5788876276958003,0.5738668099380128,0.5788876276958003,0.19466515323496028,1.576493501663208,0.033958558816669954,0.26276447850614615,0.21694097616345062
11,ultrametric,corrupted,0.0,0.5784619750283768,0.5731396852554408,0.5784619750283768,0.19480703745743475,1.5761838632378258,0.03393238731488279,0.26408057192526024,0.21722474460839955
11,geometric_shell,corrupted,0.0,0.5784619750283768,0.5732107363019556,0.5784619750283768,0.19509080590238365,1.576145723001455,0.034511334304509186,0.26458907513360663,0.21765039727582292
11,vanilla,corrupted,0.1,0.5786038592508513,0.574405622938796,0.5786038592508513,0.1993473325766175,1.5785682201385498,0.03847121713930375,0.27794481260822523,0.22531214528944382
11,hard_map,corrupted,0.1,0.5256810442678774,0.5204559042160819,0.5256810442678774,0.2395005675368899,7.396750450134277,0.13224365108696137,0.23950057116492518,0.2395005675368899
11,tree,corrupted,0.1,0.5786038592508513,0.5732681530052675,0.5786038592508513,0.19452326901248582,1.5786485561218075,0.03487273254428573,0.2637458108424924,0.21694097616345062
11,poincare,corrupted,0.1,0.5790295119182747,0.5739606608483919,0.5790295119182747,0.19452326901248582,1.578426881207704,0.036142399909804813,0.26478129441999126,0.21765039727582292
