seed,parent_accuracy,leaf_accuracy,parent_temperature,leaf_temperature,rho,tau
11,0.7660329171396141,0.5786038592508513,1.0242848742585386,1.0999297209387142,0.5,1.2
23,0.7680192962542566,0.5770431328036323,1.008350382917071,1.1032055702243493,0.5,1.2
37,0.7660329171396141,0.5803064699205448,1.020482300937292,1.0744372449501784,0.5,1.2
41,0.7688706015891033,0.5766174801362088,0.9972954077327747,1.0860322499888757,0.5,1.2
53,0.7717082860385925,0.5784619750283768,1.0005172203167796,1.0901434833905426,0.5,1.2
67,0.7695800227014756,0.5807321225879682,0.992743406842508,1.107149876244732,0.5,1.2
71,0.7658910329171397,0.5786038592508513,1.0423328105660772,1.0765881367033505,0.5,1.2
83,0.7654653802497162,0.5788876276958003,1.0057537057600692,1.106837683725106,0.5,1.2
97,0.7691543700340522,0.5807321225879682,1.0111149832296433,1.1117333765583644,0.5,1.2
109,0.766316685584563,0.5832860385925085,1.0174276816044496,1.07570247510441,0.5,1.2
